"","X","player","action","numMoves","frontier","corners","Xsquares","CSquares","parity","state","gameId","win"
"1",1,2,29,0,-8,0,0,0,1,"beginning",1,1
"2",3,2,26,0,-9,0,0,0,1,"beginning",1,1
"3",5,2,43,-3,-5,0,0,0,1,"beginning",1,1
"4",7,2,52,-5,-2,0,0,0,1,"beginning",1,1
"5",9,2,42,2,-2,0,0,0,1,"beginning",1,1
"6",11,2,33,0,-4,0,0,0,1,"beginning",1,1
"7",13,2,58,3,-3,0,0,0,1,"beginning",1,1
"8",15,2,50,1,-1,0,0,0,1,"beginning",1,1
"9",17,2,46,4,-8,0,0,0,1,"beginning",1,1
"10",19,2,20,2,-5,0,0,0,1,"beginning",1,1
"11",21,2,38,2,-6,0,0,0,1,"middle",1,1
"12",23,2,61,0,-5,0,0,0,1,"middle",1,1
"13",25,2,16,-2,-2,0,0,0,1,"middle",1,1
"14",27,2,17,0,2,0,0,0,1,"middle",1,1
"15",29,2,39,1,-1,0,0,0,1,"middle",1,1
"16",31,2,55,2,-4,0,0,0,1,"middle",1,1
"17",33,2,31,4,-4,0,0,1,1,"middle",1,1
"18",35,2,13,3,-2,0,0,1,1,"middle",1,1
"19",37,2,12,0,2,0,0,1,1,"middle",1,1
"20",39,2,15,-2,3,0,0,1,1,"middle",1,1
"21",41,2,4,-1,4,0,0,2,1,"end",1,1
"22",43,2,2,-1,4,0,-1,2,1,"end",1,1
"23",45,2,24,-1,3,0,-2,2,1,"end",1,1
"24",47,2,63,2,3,0,-2,1,1,"end",1,1
"25",49,2,10,1,3,1,-1,0,1,"end",1,1
"26",51,2,56,0,0,1,-2,0,1,"end",1,1
"27",53,2,1,-1,2,2,-1,1,1,"end",1,1
"28",55,2,6,0,3,2,1,2,1,"end",1,1
"29",57,2,8,-1,1,1,0,2,1,"end",1,1
"30",59,2,14,0,0,0,0,0,1,"end",1,1
"31",62,2,29,0,-8,0,0,0,1,"beginning",2,1
"32",64,2,43,-3,-5,0,0,0,1,"beginning",2,1
"33",66,2,21,3,-5,0,0,0,1,"beginning",2,1
"34",68,2,45,0,-2,0,0,0,1,"beginning",2,1
"35",70,2,30,-2,1,0,0,0,1,"beginning",2,1
"36",72,2,19,1,-2,0,0,0,1,"beginning",2,1
"37",74,2,10,-1,-4,0,0,0,1,"beginning",2,1
